,MOM__SPY__cum_ret__21d,VOL__SPY__rvol__21d,VOL__SPY__ewma_vol__span63,VAL__SPY__hml_beta__63d,SENT__sentiment_market,MACRO__vixcls,MACRO__t10y2y,MACRO__dtb3,REGIME__vix_high,TARGET__SPY__fwd_rvol__20d
MOM__SPY__cum_ret__21d,1.0,-0.4083667292759548,-0.16921363505396544,-0.01825782280717551,0.18122884520513677,-0.4785592275145738,-0.026028262676113533,0.05511071567220498,-0.20472670286506142,-0.38623511195656
VOL__SPY__rvol__21d,-0.4083667292759548,1.0,0.8850377591264468,0.06758663994190496,-0.19761083511744065,0.8152369623852938,-0.10625849238117431,-0.0644350587488289,0.4182996383978014,0.4940053862609866
VOL__SPY__ewma_vol__span63,-0.16921363505396544,0.8850377591264468,1.0,0.052863582068249385,-0.15731375021058142,0.8138642862917522,-0.12559478182142866,-0.08834387460247561,0.4603325593269849,0.4431639172729169
VAL__SPY__hml_beta__63d,-0.01825782280717551,0.06758663994190496,0.052863582068249385,1.0,0.05631800907875962,0.08913445170347109,0.2456166620135143,-0.3838228553098963,-0.1925292548045443,0.01050634556115128
SENT__sentiment_market,0.18122884520513677,-0.19761083511744065,-0.15731375021058142,0.05631800907875962,1.0,-0.16748004579505554,0.2089307200738421,-0.157699560262856,-0.029222312411009175,-0.16357206205586525
MACRO__vixcls,-0.4785592275145738,0.8152369623852938,0.8138642862917522,0.08913445170347109,-0.16748004579505554,1.0,-0.07306006465620568,-0.1388144908645548,0.5869801327081882,0.5972614400742199
MACRO__t10y2y,-0.026028262676113533,-0.10625849238117431,-0.12559478182142866,0.2456166620135143,0.2089307200738421,-0.07306006465620568,1.0,-0.8108774122880618,-0.13754481154896964,-0.12410456565030148
MACRO__dtb3,0.05511071567220498,-0.0644350587488289,-0.08834387460247561,-0.3838228553098963,-0.157699560262856,-0.1388144908645548,-0.8108774122880618,1.0,-0.04632758697726037,-0.04746469249750063
REGIME__vix_high,-0.20472670286506142,0.4182996383978014,0.4603325593269849,-0.1925292548045443,-0.029222312411009175,0.5869801327081882,-0.13754481154896964,-0.04632758697726037,1.0,0.3528866536814438
TARGET__SPY__fwd_rvol__20d,-0.38623511195656,0.4940053862609866,0.4431639172729169,0.01050634556115128,-0.16357206205586525,0.5972614400742199,-0.12410456565030148,-0.04746469249750063,0.3528866536814438,1.0
