,missing_fraction
SENT__sentiment_market,0.4496068620443174
ML__pca_ret_pc2__252d,0.08970693352394568
ML__pca_ret_pc3__252d,0.08970693352394568
ML__pca_ret_pc1__252d,0.08970693352394568
VAL__LQD__hml_beta__63d,0.03395282344531808
VAL__HYG__hml_beta__63d,0.03395282344531808
VAL__TLT__hml_beta__63d,0.03395282344531808
VAL__XLV__hml_beta__63d,0.03395282344531808
VAL__XLF__hml_beta__63d,0.03395282344531808
VAL__XLE__hml_beta__63d,0.03395282344531808
VAL__QQQ__hml_beta__63d,0.03395282344531808
VAL__SPY__hml_beta__63d,0.03395282344531808
VAL__IWM__hml_beta__63d,0.03395282344531808
VAL__EFA__hml_beta__63d,0.03395282344531808
VAL__EEM__hml_beta__63d,0.03395282344531808
VAL__XLK__hml_beta__63d,0.03395282344531808
VAL__DBC__hml_beta__63d,0.03395282344531808
VAL__GLD__hml_beta__63d,0.03395282344531808
MOM__GLD__cum_ret__63d,0.02215868477483917
MOM__DBC__cum_ret__63d,0.02215868477483917
MOM__XLE__cum_ret__63d,0.02215868477483917
MOM__XLF__cum_ret__63d,0.02215868477483917
MOM__XLV__cum_ret__63d,0.02215868477483917
MOM__TLT__cum_ret__63d,0.02215868477483917
VOL__HYG__rvol__63d,0.02215868477483917
VOL__LQD__rvol__63d,0.02215868477483917
VOL__XLK__ewma_vol__span63,0.02215868477483917
VOL__EEM__ewma_vol__span63,0.02215868477483917
VOL__EFA__ewma_vol__span63,0.02215868477483917
VOL__IWM__ewma_vol__span63,0.02215868477483917
