model,ticker,rmse,mae,n_obs
BASELINE_LSTM,AGGREGATE_EQUAL_WEIGHT,0.09511103503256273,0.0696283172776457,500
BASELINE_LSTM,DBC,0.06904371278836152,0.05006580670177937,500
BASELINE_LSTM,EEM,0.10225995859659445,0.080933617439121,500
BASELINE_LSTM,EFA,0.09033772556827917,0.06667486497014762,500
BASELINE_LSTM,GLD,0.08375365819560895,0.06506681445986033,500
BASELINE_LSTM,HYG,0.04145242721158818,0.03141336926817894,500
BASELINE_LSTM,IWM,0.11197859407613421,0.08339468870684505,500
BASELINE_LSTM,LQD,0.04227315399525228,0.028208349560853094,500
BASELINE_LSTM,QQQ,0.1344149871613856,0.09353555186837911,500
BASELINE_LSTM,SPY,0.11766775144722409,0.08427339367382228,500
BASELINE_LSTM,TLT,0.05715141120950977,0.04500780208781362,500
BASELINE_LSTM,XLE,0.13124639771319357,0.09150576266646385,500
BASELINE_LSTM,XLF,0.12624815992808786,0.098235691097565,500
BASELINE_LSTM,XLK,0.13396354185641066,0.09245057126134634,500
BASELINE_LSTM,XLV,0.08976301070824806,0.0640301581248641,500
BASELINE_MLP,AGGREGATE_EQUAL_WEIGHT,0.1673385873550975,0.1308936304608444,500
BASELINE_MLP,DBC,0.169456122754234,0.135135608388258,500
BASELINE_MLP,EEM,0.1634973092745645,0.129758394139692,500
BASELINE_MLP,EFA,0.1653669624811051,0.1282181613936551,500
BASELINE_MLP,GLD,0.1750908513984614,0.1413762057420877,500
BASELINE_MLP,HYG,0.1385530051400695,0.1090298573005253,500
BASELINE_MLP,IWM,0.1681110838273706,0.1332778267679029,500
BASELINE_MLP,LQD,0.1491766588520623,0.1166158339322869,500
BASELINE_MLP,QQQ,0.1763335674162391,0.137857372004361,500
BASELINE_MLP,SPY,0.1810979927267918,0.1386952282278657,500
BASELINE_MLP,TLT,0.1496466547835019,0.12087754599645,500
BASELINE_MLP,XLE,0.1825666461472588,0.1373089337346194,500
BASELINE_MLP,XLF,0.1743693362973755,0.1369214315032517,500
BASELINE_MLP,XLK,0.1875445429115426,0.1396650795038199,500
BASELINE_MLP,XLV,0.1619294889607871,0.1277733478170458,500
EWMA,AGGREGATE_EQUAL_WEIGHT,0.0708235246125643,0.048308527571998,500
EWMA,DBC,0.0481299736068806,0.0361936413652463,500
EWMA,EEM,0.0716342457152361,0.0511921814581956,500
EWMA,EFA,0.0727641254712604,0.0430867751235949,500
EWMA,GLD,0.0682659869360704,0.0495579351349208,500
EWMA,HYG,0.0270336023714413,0.0175352413635415,500
EWMA,IWM,0.0839085978214265,0.0629487370115423,500
EWMA,LQD,0.02130665607584,0.0151172968608955,500
EWMA,QQQ,0.1081773532330637,0.0744711381153725,500
EWMA,SPY,0.0992872063672756,0.0640594590159585,500
EWMA,TLT,0.0320507840045749,0.0262358806049755,500
EWMA,XLE,0.1022117615936543,0.0614261707922122,500
EWMA,XLF,0.0828696016078462,0.0559677901423502,500
EWMA,XLK,0.1204980164194646,0.0827691164323464,500
EWMA,XLV,0.0533914333518656,0.0357580225868206,500
XGBOOST,AGGREGATE_EQUAL_WEIGHT,0.0698137255767883,0.049099864817945,500
XGBOOST,DBC,0.0402127601203216,0.0313923693291954,500
XGBOOST,EEM,0.0686258170547248,0.0525727843762377,500
XGBOOST,EFA,0.0681895630929636,0.0447964341760107,500
XGBOOST,GLD,0.0634275335421485,0.045629650643608,500
XGBOOST,HYG,0.0333167345664121,0.0206318254283917,500
XGBOOST,IWM,0.0816875287612231,0.058732491631681,500
XGBOOST,LQD,0.0333193496471354,0.0202652869735342,500
XGBOOST,QQQ,0.0950968962835789,0.0678222131132372,500
XGBOOST,SPY,0.0891747538327314,0.0581655024319497,500
XGBOOST,TLT,0.0426639040182306,0.035861848605605,500
XGBOOST,XLE,0.1092248181420821,0.0702051006526862,500
XGBOOST,XLF,0.0882788386200829,0.0639429969102841,500
XGBOOST,XLK,0.1080323840390696,0.074889470861709,500
XGBOOST,XLV,0.0561412763543315,0.0424901323171007,500
