model,ticker,rmse,mae,n_obs
EWMA,SPY,0.09928720636727568,0.06405945901595854,500
EWMA,QQQ,0.10817735323306371,0.07447113811537251,500
EWMA,IWM,0.08390859782142653,0.0629487370115423,500
EWMA,EFA,0.07276412547126046,0.043086775123594934,500
EWMA,EEM,0.07163424571523613,0.051192181458195624,500
EWMA,XLK,0.12049801641946467,0.08276911643234647,500
EWMA,XLF,0.08286960160784633,0.05596779014235032,500
EWMA,XLE,0.10221176159365436,0.06142617079221226,500
EWMA,XLV,0.05339143335186565,0.035758022586820655,500
EWMA,TLT,0.03205078400457497,0.026235880604975576,500
EWMA,LQD,0.021306656075840067,0.01511729686089559,500
EWMA,HYG,0.02703360237144136,0.01753524136354153,500
EWMA,GLD,0.0682659869360704,0.049557935134920815,500
EWMA,DBC,0.04812997360688062,0.03619364136524629,500
EWMA,AGGREGATE_EQUAL_WEIGHT,0.07082352461256436,0.048308527571998106,500
