model,ticker,rmse,mae,n_obs
XGBOOST_H3_WITH_SENT,SPY,0.13607476447892322,0.10033073431632511,300
XGBOOST_H3_WITH_SENT,QQQ,0.14726581787082316,0.11582017922958746,300
XGBOOST_H3_WITH_SENT,IWM,0.11479682108868303,0.08244694410927722,300
XGBOOST_H3_WITH_SENT,EFA,0.10369655607760744,0.07192907198093186,300
XGBOOST_H3_WITH_SENT,EEM,0.09730078543178329,0.0706240153640039,300
XGBOOST_H3_WITH_SENT,XLK,0.15682179015238362,0.12327179822853232,300
XGBOOST_H3_WITH_SENT,XLF,0.1320896658791449,0.10047892970729455,300
XGBOOST_H3_WITH_SENT,XLE,0.1431282000868702,0.11128772827154473,300
XGBOOST_H3_WITH_SENT,XLV,0.0849572911232379,0.059576446795443896,300
XGBOOST_H3_WITH_SENT,TLT,0.06426963570434535,0.05319984669096963,300
XGBOOST_H3_WITH_SENT,LQD,0.04505437150125311,0.031656738071875336,300
XGBOOST_H3_WITH_SENT,HYG,0.05318739939045872,0.03364112018527513,300
XGBOOST_H3_WITH_SENT,GLD,0.06850015457306177,0.04839142565942636,300
XGBOOST_H3_WITH_SENT,DBC,0.055142829039114445,0.04923240362969782,300
XGBOOST_H3_WITH_SENT,AGGREGATE_EQUAL_WEIGHT,0.10016329159983499,0.07513481301715609,300
XGBOOST_H3_NO_SENT,SPY,0.1344653902362118,0.09900764056922585,300
XGBOOST_H3_NO_SENT,QQQ,0.1439117786818649,0.11175364955185238,300
XGBOOST_H3_NO_SENT,IWM,0.11793903504650928,0.0831009700088519,300
XGBOOST_H3_NO_SENT,EFA,0.10326070473741679,0.07186044260636254,300
XGBOOST_H3_NO_SENT,EEM,0.10337560911478397,0.07411101327631579,300
XGBOOST_H3_NO_SENT,XLK,0.15689966764926738,0.12123101316056098,300
XGBOOST_H3_NO_SENT,XLF,0.132624997096871,0.10111640270432544,300
XGBOOST_H3_NO_SENT,XLE,0.14555003374755482,0.11402320203350062,300
XGBOOST_H3_NO_SENT,XLV,0.08678645193155353,0.060984972374426905,300
XGBOOST_H3_NO_SENT,TLT,0.0642377978898684,0.054063802459114685,300
XGBOOST_H3_NO_SENT,LQD,0.04304778697909669,0.030898692618167408,300
XGBOOST_H3_NO_SENT,HYG,0.05263025130402893,0.033317277596512644,300
XGBOOST_H3_NO_SENT,GLD,0.06810130559225903,0.0478553311605682,300
XGBOOST_H3_NO_SENT,DBC,0.05399162407200989,0.04807998864036194,300
XGBOOST_H3_NO_SENT,AGGREGATE_EQUAL_WEIGHT,0.10048731671994975,0.07510031419715338,300
