rank,model,ticker,feature,importance_mean,importance_std,n_repeats,scoring
1,BASELINE_MLP,SPY,VOL__SPY__rvol__63d,0.030523770185976323,0.0016477438210674442,5,neg_root_mean_squared_error
2,BASELINE_MLP,SPY,VOL__EFA__rvol__10d,0.02984527364623494,0.0008581340819025252,5,neg_root_mean_squared_error
3,BASELINE_MLP,SPY,VOL__LQD__rvol__10d,0.028410148132620404,0.002230578454909557,5,neg_root_mean_squared_error
4,BASELINE_MLP,SPY,VOL__XLK__ewma_vol__span63,0.027537923862429738,0.0010093287149922328,5,neg_root_mean_squared_error
5,BASELINE_MLP,SPY,VOL__EFA__ewma_vol__span63,0.026833127456316462,0.0007279509840279912,5,neg_root_mean_squared_error
6,BASELINE_MLP,SPY,VOL__HYG__rvol__10d,0.025753576492482333,0.00048207285594010954,5,neg_root_mean_squared_error
7,BASELINE_MLP,SPY,VOL__GLD__ewma_vol__span63,0.02392682385141961,0.0007959023724509717,5,neg_root_mean_squared_error
8,BASELINE_MLP,SPY,VOL__LQD__rvol__21d,0.02286894246966332,0.0007706995135904395,5,neg_root_mean_squared_error
9,BASELINE_MLP,SPY,MOM__QQQ__cum_ret__5d,0.022712167099696683,0.000745501019844154,5,neg_root_mean_squared_error
10,BASELINE_MLP,SPY,VOL__LQD__ewma_vol__span63,0.022394436126201143,0.00043292487014944203,5,neg_root_mean_squared_error
11,BASELINE_MLP,SPY,VOL__XLK__rvol__21d,0.022189437712694864,0.001226100321478605,5,neg_root_mean_squared_error
12,BASELINE_MLP,SPY,VAL__DBC__hml_beta__63d,0.02216827469739364,0.0004694166402808924,5,neg_root_mean_squared_error
13,BASELINE_MLP,SPY,MOM__QQQ__cum_ret__10d,0.02183983508945934,0.0009595206437150464,5,neg_root_mean_squared_error
14,BASELINE_MLP,SPY,MOM__TLT__cum_ret__10d,0.021716973582842747,0.00025052685143200454,5,neg_root_mean_squared_error
15,BASELINE_MLP,SPY,MOM__EFA__cum_ret__21d,0.021556805377228216,0.0010382112566796543,5,neg_root_mean_squared_error
16,BASELINE_MLP,SPY,VAL__EEM__hml_beta__63d,0.021407477586918196,0.0004233277649314229,5,neg_root_mean_squared_error
17,BASELINE_MLP,SPY,VOL__QQQ__rvol__63d,0.02134472602442546,0.000739924581992403,5,neg_root_mean_squared_error
18,BASELINE_MLP,SPY,MACRO__dtb3,0.021237675989411946,0.0007042076325076953,5,neg_root_mean_squared_error
19,BASELINE_MLP,SPY,VOL__DBC__rvol__21d,0.02046870313102849,0.0006085581193623681,5,neg_root_mean_squared_error
20,BASELINE_MLP,SPY,VOL__GLD__rvol__10d,0.019976231839449056,0.0011358014865920194,5,neg_root_mean_squared_error
21,BASELINE_MLP,SPY,VOL__XLF__rvol__10d,0.019679810373208855,0.0004925828734449789,5,neg_root_mean_squared_error
22,BASELINE_MLP,SPY,VOL__XLK__ewma_vol__span21,0.019510007343455055,0.0002416494237739775,5,neg_root_mean_squared_error
23,BASELINE_MLP,SPY,MOM__TLT__cum_ret__21d,0.019369889829287956,0.0005460850998196489,5,neg_root_mean_squared_error
24,BASELINE_MLP,SPY,VOL__EFA__rvol__63d,0.019293053923599597,0.0010669300578952648,5,neg_root_mean_squared_error
25,BASELINE_MLP,SPY,MOM__SPY__cum_ret__5d,0.01890751597796591,0.0002053135079099551,5,neg_root_mean_squared_error
26,BASELINE_MLP,SPY,VAL__IWM__hml_beta__63d,0.018687066067064766,0.0006281001626858798,5,neg_root_mean_squared_error
27,BASELINE_MLP,SPY,VOL__QQQ__rvol__10d,0.01847579613745125,0.0018593716570078531,5,neg_root_mean_squared_error
28,BASELINE_MLP,SPY,MOM__DBC__cum_ret__63d,0.018418218901041127,0.0009426273139796292,5,neg_root_mean_squared_error
29,BASELINE_MLP,SPY,VOL__XLK__rvol__10d,0.0182072976928777,0.001108624323804178,5,neg_root_mean_squared_error
30,BASELINE_MLP,SPY,VOL__GLD__ewma_vol__span21,0.0181613451659281,0.0005244614892834814,5,neg_root_mean_squared_error
31,BASELINE_MLP,SPY,MOM__XLF__cum_ret__63d,0.018143501585188244,0.0006273233788492967,5,neg_root_mean_squared_error
32,BASELINE_MLP,SPY,VAL__HYG__hml_beta__63d,0.018065101356697533,0.00043522382810664905,5,neg_root_mean_squared_error
33,BASELINE_MLP,SPY,MACRO__vixcls,0.01764479613397017,0.001270856090930171,5,neg_root_mean_squared_error
34,BASELINE_MLP,SPY,MOM__EFA__cum_ret__10d,0.017630993805597305,0.00047791529677035924,5,neg_root_mean_squared_error
35,BASELINE_MLP,SPY,MOM__HYG__cum_ret__63d,0.01761468356795176,0.0003482016432490037,5,neg_root_mean_squared_error
36,BASELINE_MLP,SPY,VOL__QQQ__ewma_vol__span63,0.017290087459940224,0.0007577980297888682,5,neg_root_mean_squared_error
37,BASELINE_MLP,SPY,VOL__SPY__ewma_vol__span63,0.01728448139045109,0.0012128019370554219,5,neg_root_mean_squared_error
38,BASELINE_MLP,SPY,VOL__GLD__rvol__63d,0.01726700491336854,0.0003173668514735242,5,neg_root_mean_squared_error
39,BASELINE_MLP,SPY,VAL__EFA__hml_beta__63d,0.017159139316864174,0.0005005912526148453,5,neg_root_mean_squared_error
40,BASELINE_MLP,SPY,MOM__XLF__cum_ret__5d,0.01713485194868187,0.0003895828227203271,5,neg_root_mean_squared_error
41,BASELINE_MLP,SPY,VOL__IWM__ewma_vol__span63,0.017072474432417734,0.00029094664980462606,5,neg_root_mean_squared_error
42,BASELINE_MLP,SPY,MOM__XLV__cum_ret__63d,0.01678064691434219,0.0007673136619150212,5,neg_root_mean_squared_error
43,BASELINE_MLP,SPY,VAL__SPY__hml_beta__63d,0.016753820568464008,0.0007259290170057755,5,neg_root_mean_squared_error
44,BASELINE_MLP,SPY,VOL__QQQ__rvol__21d,0.01668892710830333,0.0009503239247750807,5,neg_root_mean_squared_error
45,BASELINE_MLP,SPY,MOM__XLK__cum_ret__10d,0.01652476857643012,0.0006082797234425514,5,neg_root_mean_squared_error
46,BASELINE_MLP,SPY,VOL__IWM__rvol__63d,0.016517302581859024,0.0005263050331130594,5,neg_root_mean_squared_error
47,BASELINE_MLP,SPY,VOL__EEM__ewma_vol__span63,0.016500196314216918,0.0006982713860945502,5,neg_root_mean_squared_error
48,BASELINE_MLP,SPY,VOL__SPY__rvol__21d,0.016458526809172886,0.0008568864938181661,5,neg_root_mean_squared_error
49,BASELINE_MLP,SPY,MOM__XLF__cum_ret__10d,0.01635612461317947,0.00045237054150407916,5,neg_root_mean_squared_error
