feature,gain
VOL__XLK__ewma_vol__span21,0.55075603723526
MOM__XLF__cum_ret__10d,0.4087633490562439
VOL__QQQ__ewma_vol__span21,0.40174463391304016
VOL__SPY__ewma_vol__span21,0.35743385553359985
MACRO__vixcls,0.24697698652744293
REGIME__vix_high,0.2239004373550415
VAL__TLT__hml_beta__63d,0.19691334664821625
MOM__SPY__cum_ret__21d,0.19420871138572693
MOM__SPY__cum_ret__10d,0.17928877472877502
VAL__ff_rf,0.14878080785274506
VOL__XLV__rvol__10d,0.14598384499549866
VOL__LQD__rvol__21d,0.1427420824766159
MOM__XLE__cum_ret__10d,0.11935392022132874
MOM__QQQ__cum_ret__63d,0.09048976749181747
MOM__EFA__cum_ret__10d,0.08876010775566101
MOM__HYG__cum_ret__63d,0.0807509645819664
VOL__IWM__rvol__63d,0.07847202569246292
VAL__QQQ__hml_beta__63d,0.07169681042432785
VOL__TLT__ewma_vol__span63,0.07007820904254913
MOM__DBC__cum_ret__21d,0.06752005219459534
MOM__TLT__cum_ret__21d,0.0669567808508873
MOM__XLE__cum_ret__21d,0.06463614106178284
MOM__XLK__cum_ret__63d,0.058656852692365646
VOL__EEM__rvol__21d,0.056878089904785156
VOL__DBC__ewma_vol__span63,0.05545070022344589
VOL__DBC__rvol__63d,0.053414322435855865
MOM__TLT__cum_ret__63d,0.05133967846632004
VOL__XLK__rvol__21d,0.05120694637298584
VOL__DBC__ewma_vol__span21,0.04908619076013565
VOL__EFA__rvol__21d,0.044855546206235886
MOM__TLT__cum_ret__10d,0.043689485639333725
MOM__EFA__cum_ret__63d,0.043627090752124786
VOL__LQD__ewma_vol__span21,0.043028440326452255
VOL__QQQ__rvol__21d,0.042883165180683136
VAL__XLV__hml_beta__63d,0.04149751365184784
MOM__EEM__cum_ret__63d,0.037922222167253494
VAL__LQD__hml_beta__63d,0.035142622888088226
VOL__GLD__rvol__63d,0.03384076803922653
MOM__GLD__cum_ret__63d,0.0331619568169117
VOL__XLV__ewma_vol__span21,0.03277916833758354
VOL__LQD__ewma_vol__span63,0.03026610054075718
VOL__LQD__rvol__63d,0.028659699484705925
MOM__XLV__cum_ret__63d,0.028444286435842514
MOM__XLK__cum_ret__21d,0.027834085747599602
VOL__TLT__rvol__63d,0.02735942229628563
VOL__DBC__rvol__21d,0.025838250294327736
VAL__DBC__hml_beta__63d,0.02544550597667694
VOL__SPY__rvol__63d,0.02482116036117077
VAL__IWM__hml_beta__63d,0.023774920031428337
MOM__SPY__cum_ret__63d,0.02370929904282093
MOM__LQD__cum_ret__21d,0.023641549050807953
VOL__XLV__rvol__63d,0.02284514158964157
MOM__LQD__cum_ret__63d,0.021962430328130722
MOM__IWM__cum_ret__10d,0.02127726562321186
MACRO__dtb3,0.020305315032601357
VOL__XLF__rvol__21d,0.017913823947310448
MOM__QQQ__cum_ret__10d,0.017084015533328056
VOL__SPY__ewma_vol__span63,0.016372770071029663
VOL__HYG__rvol__63d,0.01606319285929203
MACRO__t10y2y,0.015863871201872826
VOL__DBC__rvol__10d,0.01546380016952753
VOL__HYG__ewma_vol__span63,0.01530639361590147
VAL__XLF__hml_beta__63d,0.01518695056438446
VOL__EFA__ewma_vol__span63,0.015032682567834854
VOL__IWM__ewma_vol__span63,0.01484403945505619
VOL__GLD__ewma_vol__span21,0.014679287560284138
VOL__XLV__ewma_vol__span63,0.014102640561759472
VOL__EEM__ewma_vol__span21,0.014015013352036476
MOM__XLV__cum_ret__10d,0.013590998947620392
VAL__HYG__hml_beta__63d,0.013575178571045399
MOM__XLF__cum_ret__21d,0.013412928208708763
VAL__XLE__hml_beta__63d,0.013235201127827168
VOL__XLE__ewma_vol__span21,0.013195831328630447
VAL__EFA__hml_beta__63d,0.013109490275382996
VOL__XLE__rvol__21d,0.012936774641275406
VOL__EEM__ewma_vol__span63,0.012727615423500538
MOM__EFA__cum_ret__5d,0.012291495688259602
MOM__DBC__cum_ret__10d,0.012111193500459194
VOL__EFA__rvol__63d,0.0118712168186903
MOM__EFA__cum_ret__21d,0.011807533912360668
VOL__TLT__rvol__10d,0.011333477683365345
VOL__GLD__ewma_vol__span63,0.011318814940750599
MOM__XLV__cum_ret__21d,0.011101911775767803
VAL__EEM__hml_beta__63d,0.011073463596403599
VOL__XLF__rvol__63d,0.010901042260229588
VOL__EEM__rvol__63d,0.010870994068682194
MOM__IWM__cum_ret__63d,0.010807158425450325
MOM__XLK__cum_ret__10d,0.010393719188869
VAL__GLD__hml_beta__63d,0.010347673669457436
MOM__XLV__cum_ret__5d,0.010307985357940197
MOM__EEM__cum_ret__5d,0.010293697007000446
MOM__GLD__cum_ret__21d,0.010026187635958195
VOL__HYG__rvol__21d,0.009989512152969837
VOL__XLE__ewma_vol__span63,0.009170415811240673
VOL__QQQ__rvol__10d,0.009169075638055801
MOM__EEM__cum_ret__21d,0.0090244235470891
VOL__SPY__rvol__21d,0.008936065249145031
VOL__XLF__ewma_vol__span63,0.00864993967115879
VOL__IWM__rvol__10d,0.008041082881391048
VOL__GLD__rvol__21d,0.00800348911434412
