model,ticker,rmse,mae,n_obs,feature_count
CAUSAL_XGBOOST,SPY,0.09816046772011054,0.060864831817555615,500,74
CAUSAL_XGBOOST,QQQ,0.10036837837044496,0.06631617984991801,500,74
CAUSAL_XGBOOST,IWM,0.09261469073309139,0.054302922335777194,500,74
CAUSAL_XGBOOST,EFA,0.08657738041855302,0.04717337545470213,500,74
CAUSAL_XGBOOST,EEM,0.08099480521849396,0.052076933875647824,500,74
CAUSAL_XGBOOST,XLK,0.118668568292851,0.07437665941369909,500,74
CAUSAL_XGBOOST,XLF,0.11132392759330031,0.0641743377554344,500,74
CAUSAL_XGBOOST,XLE,0.13784188267853448,0.07447944079352418,500,74
CAUSAL_XGBOOST,XLV,0.05940777644799776,0.04115384996614553,500,74
CAUSAL_XGBOOST,TLT,0.05441216022730106,0.03896667763911354,500,74
CAUSAL_XGBOOST,LQD,0.04212242698437671,0.022042081104452684,500,74
CAUSAL_XGBOOST,HYG,0.044356209739824466,0.025160761012504158,500,74
CAUSAL_XGBOOST,GLD,0.06379944942220825,0.044103237533611395,500,74
CAUSAL_XGBOOST,DBC,0.04491492428278974,0.03593312544478198,500,74
CAUSAL_XGBOOST,AGGREGATE_EQUAL_WEIGHT,0.08111164629499126,0.05008031528549056,500,74
