feature,dag_prefix,allowed_for_risk
MOM__SPY__cum_ret__5d,MOM,False
MOM__QQQ__cum_ret__5d,MOM,False
MOM__IWM__cum_ret__5d,MOM,False
MOM__EFA__cum_ret__5d,MOM,False
MOM__EEM__cum_ret__5d,MOM,False
MOM__XLK__cum_ret__5d,MOM,False
MOM__XLF__cum_ret__5d,MOM,False
MOM__XLE__cum_ret__5d,MOM,False
MOM__XLV__cum_ret__5d,MOM,False
MOM__TLT__cum_ret__5d,MOM,False
MOM__LQD__cum_ret__5d,MOM,False
MOM__HYG__cum_ret__5d,MOM,False
MOM__GLD__cum_ret__5d,MOM,False
MOM__DBC__cum_ret__5d,MOM,False
MOM__SPY__cum_ret__10d,MOM,False
MOM__QQQ__cum_ret__10d,MOM,False
MOM__IWM__cum_ret__10d,MOM,False
MOM__EFA__cum_ret__10d,MOM,False
MOM__EEM__cum_ret__10d,MOM,False
MOM__XLK__cum_ret__10d,MOM,False
MOM__XLF__cum_ret__10d,MOM,False
MOM__XLE__cum_ret__10d,MOM,False
MOM__XLV__cum_ret__10d,MOM,False
MOM__TLT__cum_ret__10d,MOM,False
MOM__LQD__cum_ret__10d,MOM,False
MOM__HYG__cum_ret__10d,MOM,False
MOM__GLD__cum_ret__10d,MOM,False
MOM__DBC__cum_ret__10d,MOM,False
MOM__SPY__cum_ret__21d,MOM,False
MOM__QQQ__cum_ret__21d,MOM,False
MOM__IWM__cum_ret__21d,MOM,False
MOM__EFA__cum_ret__21d,MOM,False
MOM__EEM__cum_ret__21d,MOM,False
MOM__XLK__cum_ret__21d,MOM,False
MOM__XLF__cum_ret__21d,MOM,False
MOM__XLE__cum_ret__21d,MOM,False
MOM__XLV__cum_ret__21d,MOM,False
MOM__TLT__cum_ret__21d,MOM,False
MOM__LQD__cum_ret__21d,MOM,False
MOM__HYG__cum_ret__21d,MOM,False
MOM__GLD__cum_ret__21d,MOM,False
MOM__DBC__cum_ret__21d,MOM,False
MOM__SPY__cum_ret__63d,MOM,False
MOM__QQQ__cum_ret__63d,MOM,False
MOM__IWM__cum_ret__63d,MOM,False
MOM__EFA__cum_ret__63d,MOM,False
MOM__EEM__cum_ret__63d,MOM,False
MOM__XLK__cum_ret__63d,MOM,False
MOM__XLF__cum_ret__63d,MOM,False
MOM__XLE__cum_ret__63d,MOM,False
MOM__XLV__cum_ret__63d,MOM,False
MOM__TLT__cum_ret__63d,MOM,False
MOM__LQD__cum_ret__63d,MOM,False
MOM__HYG__cum_ret__63d,MOM,False
MOM__GLD__cum_ret__63d,MOM,False
MOM__DBC__cum_ret__63d,MOM,False
VOL__SPY__rvol__10d,VOL,True
VOL__QQQ__rvol__10d,VOL,True
VOL__IWM__rvol__10d,VOL,True
VOL__EFA__rvol__10d,VOL,True
VOL__EEM__rvol__10d,VOL,True
VOL__XLK__rvol__10d,VOL,True
VOL__XLF__rvol__10d,VOL,True
VOL__XLE__rvol__10d,VOL,True
VOL__XLV__rvol__10d,VOL,True
VOL__TLT__rvol__10d,VOL,True
VOL__LQD__rvol__10d,VOL,True
VOL__HYG__rvol__10d,VOL,True
VOL__GLD__rvol__10d,VOL,True
VOL__DBC__rvol__10d,VOL,True
VOL__SPY__rvol__21d,VOL,True
VOL__QQQ__rvol__21d,VOL,True
VOL__IWM__rvol__21d,VOL,True
VOL__EFA__rvol__21d,VOL,True
VOL__EEM__rvol__21d,VOL,True
VOL__XLK__rvol__21d,VOL,True
VOL__XLF__rvol__21d,VOL,True
VOL__XLE__rvol__21d,VOL,True
VOL__XLV__rvol__21d,VOL,True
VOL__TLT__rvol__21d,VOL,True
VOL__LQD__rvol__21d,VOL,True
VOL__HYG__rvol__21d,VOL,True
VOL__GLD__rvol__21d,VOL,True
VOL__DBC__rvol__21d,VOL,True
VOL__SPY__rvol__63d,VOL,True
VOL__QQQ__rvol__63d,VOL,True
VOL__IWM__rvol__63d,VOL,True
VOL__EFA__rvol__63d,VOL,True
VOL__EEM__rvol__63d,VOL,True
VOL__XLK__rvol__63d,VOL,True
VOL__XLF__rvol__63d,VOL,True
VOL__XLE__rvol__63d,VOL,True
VOL__XLV__rvol__63d,VOL,True
VOL__TLT__rvol__63d,VOL,True
VOL__LQD__rvol__63d,VOL,True
VOL__HYG__rvol__63d,VOL,True
VOL__GLD__rvol__63d,VOL,True
VOL__DBC__rvol__63d,VOL,True
VOL__SPY__ewma_vol__span21,VOL,True
VOL__QQQ__ewma_vol__span21,VOL,True
VOL__IWM__ewma_vol__span21,VOL,True
VOL__EFA__ewma_vol__span21,VOL,True
VOL__EEM__ewma_vol__span21,VOL,True
VOL__XLK__ewma_vol__span21,VOL,True
VOL__XLF__ewma_vol__span21,VOL,True
VOL__XLE__ewma_vol__span21,VOL,True
VOL__XLV__ewma_vol__span21,VOL,True
VOL__TLT__ewma_vol__span21,VOL,True
VOL__LQD__ewma_vol__span21,VOL,True
VOL__HYG__ewma_vol__span21,VOL,True
VOL__GLD__ewma_vol__span21,VOL,True
VOL__DBC__ewma_vol__span21,VOL,True
VOL__SPY__ewma_vol__span63,VOL,True
VOL__QQQ__ewma_vol__span63,VOL,True
VOL__IWM__ewma_vol__span63,VOL,True
VOL__EFA__ewma_vol__span63,VOL,True
VOL__EEM__ewma_vol__span63,VOL,True
VOL__XLK__ewma_vol__span63,VOL,True
VOL__XLF__ewma_vol__span63,VOL,True
VOL__XLE__ewma_vol__span63,VOL,True
VOL__XLV__ewma_vol__span63,VOL,True
VOL__TLT__ewma_vol__span63,VOL,True
VOL__LQD__ewma_vol__span63,VOL,True
VOL__HYG__ewma_vol__span63,VOL,True
VOL__GLD__ewma_vol__span63,VOL,True
VOL__DBC__ewma_vol__span63,VOL,True
VAL__SPY__hml_beta__63d,VAL,False
VAL__QQQ__hml_beta__63d,VAL,False
VAL__IWM__hml_beta__63d,VAL,False
VAL__EFA__hml_beta__63d,VAL,False
VAL__EEM__hml_beta__63d,VAL,False
VAL__XLK__hml_beta__63d,VAL,False
VAL__XLF__hml_beta__63d,VAL,False
VAL__XLE__hml_beta__63d,VAL,False
VAL__XLV__hml_beta__63d,VAL,False
VAL__TLT__hml_beta__63d,VAL,False
VAL__LQD__hml_beta__63d,VAL,False
VAL__HYG__hml_beta__63d,VAL,False
VAL__GLD__hml_beta__63d,VAL,False
VAL__DBC__hml_beta__63d,VAL,False
VAL__ff_mkt_rf,VAL,False
VAL__ff_smb,VAL,False
VAL__ff_hml,VAL,False
VAL__ff_rf,VAL,False
ML__pca_ret_pc1__252d,ML,False
ML__pca_ret_pc2__252d,ML,False
ML__pca_ret_pc3__252d,ML,False
MACRO__dtb3,MACRO,True
MACRO__vixcls,MACRO,True
MACRO__t10y2y,MACRO,True
REGIME__vix_high,REGIME,True
