ticker,model_family,dag_prefix,gain_share
GLD,BASELINE_UNCONSTRAINED,VOL,0.5283955602686798
GLD,BASELINE_UNCONSTRAINED,MOM,0.30275917575510325
GLD,BASELINE_UNCONSTRAINED,VAL,0.13247224816313816
GLD,BASELINE_UNCONSTRAINED,MACRO,0.030438608658519717
GLD,BASELINE_UNCONSTRAINED,REGIME,0.004711262613050387
GLD,BASELINE_UNCONSTRAINED,ML,0.001223144541508601
GLD,CAUSAL_CONSTRAINED,VOL,0.875861147422774
GLD,CAUSAL_CONSTRAINED,REGIME,0.0834041075634597
GLD,CAUSAL_CONSTRAINED,MACRO,0.040734745013766324
SPY,BASELINE_UNCONSTRAINED,VOL,0.46940874853370496
SPY,BASELINE_UNCONSTRAINED,MOM,0.33905535600099573
SPY,BASELINE_UNCONSTRAINED,VAL,0.10596696643186083
SPY,BASELINE_UNCONSTRAINED,MACRO,0.047426987294693405
SPY,BASELINE_UNCONSTRAINED,REGIME,0.037503325911605226
SPY,BASELINE_UNCONSTRAINED,ML,0.0006386158271398609
SPY,CAUSAL_CONSTRAINED,VOL,0.8908337268592827
SPY,CAUSAL_CONSTRAINED,MACRO,0.08730919890995165
SPY,CAUSAL_CONSTRAINED,REGIME,0.021857074230765616
TLT,BASELINE_UNCONSTRAINED,VOL,0.5096020278426738
TLT,BASELINE_UNCONSTRAINED,MOM,0.3380870315789683
TLT,BASELINE_UNCONSTRAINED,VAL,0.12166515816731993
TLT,BASELINE_UNCONSTRAINED,MACRO,0.02942624998090769
TLT,BASELINE_UNCONSTRAINED,ML,0.001219532430130234
TLT,CAUSAL_CONSTRAINED,VOL,0.9134565874767655
TLT,CAUSAL_CONSTRAINED,MACRO,0.07485221341421659
TLT,CAUSAL_CONSTRAINED,REGIME,0.01169119910901793
