ticker,model_variant,feature,dag_prefix,gain,gain_share,rank_within_ticker,model_path,model_family
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,VOL__XLK__ewma_vol__span21,VOL,0.55075603723526,0.09225164276684719,1,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,MOM__XLF__cum_ret__10d,MOM,0.4087633490562439,0.0684678658133509,2,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,VOL__QQQ__ewma_vol__span21,VOL,0.4017446339130401,0.06729223094364813,3,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,VOL__SPY__ewma_vol__span21,VOL,0.3574338555335998,0.059870175039728996,4,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,MACRO__vixcls,MACRO,0.2469769865274429,0.04136864817158546,5,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,REGIME__vix_high,REGIME,0.2239004373550415,0.037503325911605226,6,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,VAL__TLT__hml_beta__63d,VAL,0.1969133466482162,0.03298298789824434,7,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,MOM__SPY__cum_ret__21d,MOM,0.1942087113857269,0.03252996145971035,8,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,MOM__SPY__cum_ret__10d,MOM,0.179288774728775,0.030030871892775327,9,,BASELINE_UNCONSTRAINED
SPY,BASELINE_UNCONSTRAINED_ARTIFACT,VAL__ff_rf,VAL,0.148780807852745,0.024920787079328013,10,,BASELINE_UNCONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__QQQ__ewma_vol__span21,VOL,0.6357675790786743,0.2059265859032212,1,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__XLV__rvol__10d,VOL,0.1701434999704361,0.05510987224814273,2,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,MACRO__vixcls,MACRO,0.16270853579044342,0.052701670193993674,3,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__DBC__ewma_vol__span21,VOL,0.13176046311855316,0.0426775180426011,4,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__SPY__ewma_vol__span21,VOL,0.12221989780664444,0.039587306923130124,5,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__EEM__rvol__21d,VOL,0.12026626616716385,0.03895452112707907,6,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__XLK__rvol__21d,VOL,0.11789363622665405,0.038186020814482156,7,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__XLK__ewma_vol__span21,VOL,0.10041260719299316,0.0325238751728413,8,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__LQD__rvol__21d,VOL,0.08715415000915527,0.028229430296982175,9,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
SPY,CAUSAL_CONSTRAINED,VOL__IWM__rvol__63d,VOL,0.08188212662935257,0.02652180975902079,10,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json,CAUSAL_CONSTRAINED
