window_start,window_end,depth,n_articles,hit_limit_flag,min_timestamp,max_timestamp
2020-01-01,2020-04-01,0,678,False,2020-01-01 00:00:00+00:00,2020-03-31 23:26:20+00:00
2020-04-01,2020-07-01,0,692,False,2020-04-01 01:55:00+00:00,2020-06-30 23:26:28+00:00
2020-07-01,2020-10-01,0,1000,True,2020-07-01 07:07:05+00:00,2020-09-04 22:01:55+00:00
2020-07-01,2020-08-16,1,668,False,2020-07-01 07:07:05+00:00,2020-08-15 22:32:13+00:00
2020-08-16,2020-10-01,1,759,False,2020-08-16 06:28:55+00:00,2020-09-30 23:11:31+00:00
2020-10-01,2021-01-01,0,1000,True,2020-10-01 04:05:57+00:00,2020-11-24 08:02:00+00:00
2020-10-01,2020-11-16,1,753,False,2020-10-01 04:05:57+00:00,2020-11-15 22:36:59+00:00
2020-11-16,2021-01-01,1,1000,True,2020-11-16 03:24:43+00:00,2021-01-01 00:00:00+00:00
2020-11-16,2020-12-09,2,529,False,2020-11-16 03:24:43+00:00,2020-12-08 23:27:06+00:00
2020-12-09,2021-01-01,2,490,False,2020-12-09 02:13:07+00:00,2021-01-01 00:00:00+00:00
2021-01-01,2021-04-01,0,1000,True,2021-01-01 00:00:00+00:00,2021-02-01 23:04:00+00:00
2021-01-01,2021-02-15,1,1000,True,2021-01-01 00:00:00+00:00,2021-02-01 23:04:00+00:00
2021-01-01,2021-01-23,2,721,False,2021-01-01 00:00:00+00:00,2021-01-23 07:59:00+00:00
2021-01-23,2021-02-15,2,601,False,2021-01-23 20:53:03+00:00,2021-02-14 21:27:40+00:00
2021-02-15,2021-04-01,1,1000,True,2021-02-15 00:34:46+00:00,2021-03-30 19:36:23+00:00
2021-02-15,2021-03-09,2,513,False,2021-02-15 00:34:46+00:00,2021-03-09 11:48:35+00:00
2021-03-09,2021-04-01,2,529,False,2021-03-09 12:23:00+00:00,2021-03-31 23:58:46+00:00
2021-04-01,2021-07-01,0,1000,True,2021-04-01 06:09:51+00:00,2021-05-14 17:09:36+00:00
2021-04-01,2021-05-16,1,1000,True,2021-04-01 06:09:51+00:00,2021-05-14 17:09:36+00:00
2021-04-01,2021-04-23,2,504,False,2021-04-01 06:09:51+00:00,2021-04-23 17:53:00+00:00
2021-04-23,2021-05-16,2,507,False,2021-04-23 18:28:00+00:00,2021-05-16 10:48:00+00:00
2021-05-16,2021-07-01,1,1000,True,2021-05-16 21:16:44+00:00,2021-06-30 12:08:59+00:00
2021-05-16,2021-06-08,2,486,False,2021-05-16 21:16:44+00:00,2021-06-08 05:02:59+00:00
2021-06-08,2021-07-01,2,536,False,2021-06-08 07:00:00+00:00,2021-06-30 22:01:32+00:00
2021-07-01,2021-10-01,0,1000,True,2021-07-01 04:41:37+00:00,2021-08-12 19:32:34+00:00
2021-07-01,2021-08-16,1,0,False,,
2021-08-16,2021-10-01,1,0,False,,
2021-10-01,2022-01-01,0,0,False,,
2022-01-01,2022-04-01,0,0,False,,
2022-04-01,2022-07-01,0,0,False,,
2022-07-01,2022-10-01,0,0,False,,
2022-10-01,2023-01-01,0,0,False,,
2023-01-01,2023-04-01,0,0,False,,
2023-04-01,2023-07-01,0,0,False,,
2023-07-01,2023-10-01,0,0,False,,
2023-10-01,2024-01-01,0,0,False,,
2024-01-01,2024-04-01,0,0,False,,
2024-04-01,2024-07-01,0,0,False,,
2024-07-01,2024-10-01,0,0,False,,
2024-10-01,2025-01-01,0,0,False,,
2025-01-01,2025-04-01,0,0,False,,
2025-04-01,2025-07-01,0,0,False,,
2025-07-01,2025-10-01,0,0,False,,
2025-10-01,2026-01-01,0,0,False,,
2026-01-01,2026-03-13,0,0,False,,
